Process_Time,WAC_Time,JIT1,Throughput,PW,Square_PW
120,40,10,48,160,80
120,50,10,47.5,170,70
120,60,10,44,180,60
120,70,10,43.8,190,50
120,80,10,43,200,40
120,90,10,42,210,30
135,40,10,46,175,95
135,50,10,45,185,85
135,60,10,40,195,75
135,70,10,38.65,205,65
135,80,10,38.58,215,55
135,90,10,37.1,225,45
150,40,10,47.26,190,110
150,50,10,42.46,200,100
150,60,10,35.07,210,90
150,70,10,37.04,220,80
150,80,10,36.4,230,70
150,90,10,37,240,60
165,40,10,41.44,205,125
165,50,10,40.13,215,115
165,60,10,32.27,225,105
165,70,10,38.27,235,95
165,80,10,33.6,245,85
165,90,10,35.3,255,75
180,40,10,38.95,220,140
180,50,10,36.19,230,130
180,60,10,34.99,240,120
180,70,10,33.08,250,110
180,80,10,36.67,260,100
180,90,10,31.21,270,90
195,40,10,26.66,235,155
195,50,10,35.59,245,145
195,60,10,33.13,255,135
195,70,10,32.5,265,125
195,80,10,31.88,275,115
195,90,10,32.98,285,105
120,40,15,48.5,160,80
120,50,15,48,170,70
120,60,15,44.5,180,60
120,70,15,44,190,50
120,80,15,43.5,200,40
120,90,15,42.5,210,30
135,40,15,46.5,175,95
135,50,15,45.2,185,85
135,60,15,40.5,195,75
135,70,15,39.24,205,65
135,80,15,39.08,215,55
135,90,15,37.6,225,45
150,40,15,45.57,190,110
150,50,15,42.52,200,100
150,60,15,36.18,210,90
150,70,15,37.14,220,80
150,80,15,36.92,230,70
150,90,15,37.06,240,60
165,40,15,41.41,205,125
165,50,15,40.18,215,115
165,60,15,33.4,225,105
165,70,15,37.43,235,95
165,80,15,34.28,245,85
165,90,15,35.32,255,75
180,40,15,39.04,220,140
180,50,15,36.94,230,130
180,60,15,35.57,240,120
180,70,15,33.93,250,110
180,80,15,36.31,260,100
180,90,15,31.93,270,90
195,40,15,30.23,235,155
195,50,15,35.91,245,145
195,60,15,33.77,255,135
195,70,15,32.88,265,125
195,80,15,32.18,275,115
195,90,15,32.86,285,105
120,40,20,49,160,80
120,50,20,48.25,170,70
120,60,20,44.74,180,60
120,70,20,44.05,190,50
120,80,20,43.7,200,40
120,90,20,42.7,210,30
135,40,20,46.73,175,95
135,50,20,45.23,185,85
